JK,Symbol,Name,Market type,Industry,Turnover,Market cap.,Amplitude,P/E,Turnover Ratio
,8411,Mizuho Financial Group,JPX,Banks,42B,8.361T,1.01%,12.315,0.56%
,8416,Bank of Kochi,JPX,Banks,3.49M,9.260B,0.87%,18.436,0.06%
,8418,Yamaguchi Financial Group,JPX,Banks,824M,389.161B,1.63%,15.735,0.32%
,8522,The Bank of Nagoya,JPX,Banks,222M,125.350B,1.59%,12.876,0.26%
,8524,North Pacific Bank,JPX,Banks,917M,204.205B,2.25%,15.966,0.59%
,8537,The Taiko Bank,JPX,Banks,41.1M,15.853B,2.77%,9.333,0.43%
,8541,Ehime Bank,JPX,Banks,93.5M,51.135B,2.18%,9.481,0.31%
,8542,Tomato Bank,JPX,Banks,28.5M,14.918B,1.09%,14.394,0.19%
,8544,Keiyo Bank,JPX,Banks,236M,107.366B,1.38%,9.987,0.28%
,8550,Tochigi Bank,JPX,Banks,66.3M,38.633B,1.61%,14.61,0.23%
,8551,The Kita Nippon Bank,JPX,Banks,38M,23.545B,1.63%,8.861,0.23%
,8558,Towa Bank,JPX,Banks,58.7M,26.31B,1.95%,12.696,0.25%
,8562,Fukushima Bank,JPX,Banks,68.4M,8.084B,2.09%,9.308,1.42%
,8563,The Daito Bank,JPX,Banks,27.6M,9.637B,0.92%,7.695,0.48%
,8600,TOMONY Holdings,JPX,Banks,229M,80.898B,1.43%,5.223,0.41%
,8713,FIDEA Holdings,JPX,Banks,57.7M,29.943B,0.91%,25.475,0.24%
,8714,Senshu Ikeda Holdings,JPX,Banks,417M,111.042B,1.53%,10.238,0.45%
,177A,Kohjin Bio,JPX,Chemicals,466M,10.226B,10.87%,12.323,19.49%
,2930,Kitanotatsujin,JPX,Chemicals,72.7M,25.183B,1.11%,25.315,0.63%
,3405,Kuraray,JPX,Chemicals,2.34B,622.785B,0.92%,14.742,0.40%
,3407,Asahi Kasei,JPX,Chemicals,4.9B,1.431T,0.88%,32.674,0.37%
,3553,Kyowa Leather Cloth,JPX,Chemicals,27.8M,19.180B,1.50%,9.829,0.32%
,3878,Tomoegawa,JPX,Chemicals,22.4M,11.118B,2.71%,7.934,0.78%
,4004,Resonac Holdings,JPX,Chemicals,3.5B,638.141B,1.62%,-33.76,0.56%
,4005,Sumitomo Chemical,JPX,Chemicals,4.42B,560.639B,2.07%,-1.797,0.84%
,4008,Sumitomo Seika Chemicals,JPX,Chemicals,128M,71.22B,0.75%,11.612,0.29%
,4021,Nissan Chemical,JPX,Chemicals,4.47B,689.907B,1.58%,18.29,0.74%
,4022,Rasa Industries,JPX,Chemicals,123M,23.782B,2.33%,7.395,0.57%
,4023,Kureha,JPX,Chemicals,287M,152.254B,0.86%,16.199,0.23%
,4025,Taki Chemical,JPX,Chemicals,50.7M,38.013B,1.33%,28.624,0.19%
,4027,Tayca,JPX,Chemicals,137M,37.676B,4.59%,12.704,0.71%
,4028,Ishihara Sangyo Kaisha,JPX,Chemicals,175M,61.078B,1.14%,9.098,0.38%
,4031,Katakura & Co-op Agri,JPX,Chemicals,20.3M,10.668B,1.82%,-16.911,0.40%
,4040,Nankai Chemical,JPX,Chemicals,257M,7.294B,10.93%,9.313,8.38%
,4041,Nippon Soda,JPX,Chemicals,420M,145.382B,1.15%,8.838,0.36%
,4042,Tosoh,JPX,Chemicals,2.45B,673.127B,1.41%,11.742,0.40%
,4043,Tokuyama,JPX,Chemicals,817M,211.235B,1.23%,11.9,0.45%
,4044,Central Glass,JPX,Chemicals,383M,93.545B,1.61%,7.497,0.48%
,4045,Toagosei,JPX,Chemicals,272M,171.153B,0.88%,14.658,0.20%
,4046,Osaka Soda,JPX,Chemicals,832M,275.297B,2.68%,36.066,0.45%
,4047,Kanto Denka Kogyo,JPX,Chemicals,161M,55.212B,1.44%,5.884,0.43%
,4061,Denka,JPX,Chemicals,1.63B,186.486B,1.41%,15.612,0.94%
,4063,Shin-Etsu Chemical,JPX,Chemicals,24.7B,12.366T,1.37%,23.922,0.21%
,4064,Nippon Carbide Industries,JPX,Chemicals,70.6M,18.554B,1.37%,56.375,0.46%
,4078,Sakai Chemical Industry,JPX,Chemicals,243M,47.951B,1.28%,20.421,0.70%
,4080,Tanaka Chemical,JPX,Chemicals,45.4M,32.109B,1.62%,12.562,0.31%
,4082,Daiichi Kigenso Kagaku-Kogyo,JPX,Chemicals,40.6M,20.647B,1.19%,18.093,0.28%
,4088,Air Water,JPX,Chemicals,1.56B,498.445B,0.98%,11.228,0.38%
,4091,Nippon Sanso Holdings,JPX,Chemicals,3.16B,2.072T,1.42%,19.562,0.38%
,4092,Nippon Chemical Industrial,JPX,Chemicals,510M,24.49B,3.00%,28.611,2.67%
,4093,Toho Acetylene,JPX,Chemicals,29.4M,13.139B,1.33%,13.274,0.50%
,4094,Nihon Kagaku Sangyo,JPX,Chemicals,20.2M,29.419B,4.61%,13.361,0.13%
,4095,Nihon Parkerizing,JPX,Chemicals,173M,149.092B,1.02%,11.299,0.14%
,4097,Koatsu Gas Kogyo,JPX,Chemicals,61.4M,54.044B,1.95%,12.002,0.17%
,4098,Titan Kogyo,JPX,Chemicals,3.9M,3.065B,1.46%,9.473,0.17%
,4099,Shikoku Kasei Holdings,JPX,Chemicals,209M,95.33B,2.42%,14.022,0.35%
,4100,Toda Kogyo,JPX,Chemicals,42.4M,12.508B,1.25%,3.849,0.48%
,4102,Maruo Calcium,JPX,Chemicals,0,3.209B,0.00%,28.583,0.00%
,4107,Ise Chemicals,JPX,Chemicals,41.2B,149.535B,14.10%,40.723,90.83%
,4109,Stella Chemifa,JPX,Chemicals,80.9M,52.502B,1.38%,28.44,0.26%
,4112,Hodogaya Chemical,JPX,Chemicals,201M,43.650B,1.97%,17.593,0.60%
,4113,Taoka Chemical,JPX,Chemicals,13.8M,10.99B,1.44%,13.395,0.34%
,4114,Nippon Shokubai,JPX,Chemicals,391M,246.368B,0.53%,22.637,0.23%
,4116,Dainichiseika Color & Chemicals Mfg,JPX,Chemicals,183M,58.161B,2.22%,16.302,0.46%
,4118,Kaneka,JPX,Chemicals,758M,270.27B,1.23%,11.965,0.32%
,4119,Nippon Pigment,JPX,Chemicals,1.9M,5.015B,1.11%,-9.648,0.06%
,4120,Sugai Chemical Industry,JPX,Chemicals,256K,3.338B,0.00%,6.825,0.01%
,4124,Osaka Yuka Industry,JPX,Chemicals,609K,1.59B,0.07%,-181.742,0.10%
,4125,Sanwayuka Industry,JPX,Chemicals,24.1M,11.654B,3.40%,11.185,0.54%
,4182,Mitsubishi Gas Chemical,JPX,Chemicals,1.92B,614.104B,1.30%,16.06,0.34%
,4183,Mitsui Chemicals,JPX,Chemicals,3.61B,837.733B,1.54%,16.753,0.47%
,4186,Tokyo Ohka Kogyo,JPX,Chemicals,1.72B,526.678B,1.48%,41.431,0.34%
,4187,Osaka Organic Chemical Industry,JPX,Chemicals,2.67B,81.221B,6.42%,25.141,5.38%
,4188,Mitsubishi Chemical Group,JPX,Chemicals,5.05B,1.263T,1.66%,10.988,0.41%
,4189,KH Neochem,JPX,Chemicals,475M,84.348B,1.29%,12.36,0.73%
,4202,Daicel,JPX,Chemicals,4.18B,423.792B,1.65%,7.777,1.12%
,4203,Sumitomo Bakelite,JPX,Chemicals,2.54B,432.214B,1.17%,19.862,0.83%
,4204,Sekisui Chemical,JPX,Chemicals,3.02B,933.579B,0.74%,12.075,0.37%
,4205,Zeon,JPX,Chemicals,1.24B,287.917B,0.95%,9.261,0.56%
,4206,Aica Kogyo,JPX,Chemicals,677M,224.282B,1.00%,14.823,0.40%
,4208,Ube,JPX,Chemicals,1.71B,275.834B,1.51%,9.521,0.67%
,4212,Sekisui Jushi,JPX,Chemicals,183M,74.708B,0.92%,17.431,0.33%
,4215,CI Takiron,JPX,Chemicals,104M,73.217B,2.24%,29.723,0.43%
,4216,Asahi Yukizai,JPX,Chemicals,623M,99.74B,4.77%,8.834,1.00%
